index,r,g,b
0,64,32,64
1,69,33,69
2,74,34,74
3,79,35,79
4,85,36,85
5,90,37,90
6,95,38,95
7,100,39,100
8,105,40,105
9,110,41,110
10,116,42,116
11,121,43,121
12,126,44,126
13,131,45,131
14,136,46,136
15,141,47,141
16,147,49,147
17,152,50,152
18,157,51,157
19,162,52,162
20,167,53,167
21,172,54,172
22,178,55,178
23,183,56,183
24,188,57,188
25,193,58,193
26,198,59,198
27,203,60,203
28,209,61,209
29,214,62,214
30,219,63,219
31,224,64,224
32,218,63,225
33,212,62,226
34,206,61,227
35,200,60,228
36,194,59,229
37,188,58,230
38,182,57,231
39,176,56,232
40,170,55,233
41,164,54,234
42,158,53,235
43,152,52,236
44,146,51,237
45,140,50,238
46,134,49,239
47,128,48,240
48,122,47,240
49,116,46,241
50,110,45,242
51,104,44,243
52,98,43,244
53,92,42,245
54,86,41,246
55,80,40,247
56,74,39,248
57,68,38,249
58,62,37,250
59,56,36,251
60,50,35,252
61,44,34,253
62,38,33,254
63,32,32,255
64,32,39,255
65,31,45,254
66,31,52,254
67,30,58,253
68,30,65,253
69,30,71,252
70,29,78,252
71,29,84,251
72,28,91,251
73,28,97,250
74,28,104,250
75,27,110,249
76,27,117,249
77,26,123,248
78,26,130,248
79,26,136,248
80,25,143,247
81,25,149,247
82,24,156,246
83,24,162,246
84,24,169,245
85,23,175,245
86,23,182,244
87,22,188,244
88,22,195,243
89,22,201,243
90,21,208,242
91,21,214,242
92,20,221,241
93,20,227,241
94,20,234,240
95,19,240,240
96,19,238,235
97,18,237,230
98,18,235,225
99,18,233,220
100,17,232,215
101,17,230,210
102,16,228,205
103,16,227,200
104,16,225,195
105,15,223,190
106,15,222,185
107,14,220,180
108,14,218,175
109,14,217,170
110,13,215,165
111,13,213,160
112,12,212,155
113,12,210,150
114,12,208,145
115,11,207,140
116,11,205,135
117,10,203,130
118,10,202,125
119,10,200,120
120,9,198,115
121,9,197,110
122,8,195,105
123,8,193,100
124,8,192,95
125,7,190,90
126,7,188,85
127,6,187,80
128,6,185,75
129,6,183,70
130,5,182,65
131,5,180,60
132,4,178,55
133,4,177,50
134,4,175,45
135,3,173,40
136,3,172,35
137,2,170,30
138,2,168,25
139,2,167,20
140,1,165,15
141,1,163,10
142,0,162,5
143,0,160,0
144,6,162,0
145,12,164,1
146,19,166,1
147,25,168,2
148,31,170,2
149,37,172,2
150,44,174,3
151,50,176,3
152,56,178,4
153,62,180,4
154,68,182,4
155,75,184,5
156,81,186,5
157,87,188,6
158,93,190,6
159,100,192,6
160,106,194,7
161,112,196,7
162,118,198,8
163,124,200,8
164,131,202,8
165,137,204,9
166,143,206,9
167,149,208,10
168,156,209,10
169,162,211,10
170,168,213,11
171,174,215,11
172,180,217,12
173,187,219,12
174,193,221,12
175,199,223,13
176,205,225,13
177,212,227,14
178,218,229,14
179,224,231,14
180,227,233,15
181,229,235,15
182,232,237,16
183,234,239,16
184,237,241,16
185,240,243,17
186,242,245,17
187,245,247,18
188,247,249,18
189,250,251,18
190,252,253,19
191,255,255,19
192,255,251,20
193,255,247,20
194,255,243,20
195,255,240,21
196,255,236,21
197,255,232,22
198,255,228,22
199,255,224,22
200,255,216,23
201,255,208,23
202,255,200,24
203,255,192,24
204,255,184,24
205,255,176,25
206,255,168,25
207,255,160,26
208,255,152,26
209,255,144,26
210,255,136,27
211,255,128,27
212,255,120,28
213,255,112,28
214,255,104,28
215,255,96,29
216,255,88,29
217,255,80,30
218,255,72,30
219,255,64,30
220,255,56,31
221,255,48,31
222,255,40,32
223,255,32,32
224,255,39,39
225,255,46,46
226,255,53,53
227,255,60,60
228,255,67,67
229,255,74,74
230,255,81,81
231,255,88,88
232,255,95,95
233,255,102,102
234,255,109,109
235,255,116,116
236,255,123,123
237,255,130,130
238,255,137,137
239,255,144,144
240,255,150,150
241,255,157,157
242,255,164,164
243,255,171,171
244,255,178,178
245,255,185,185
246,255,192,192
247,255,199,199
248,255,206,206
249,255,213,213
250,255,220,220
251,255,227,227
252,255,234,234
253,255,241,241
254,255,248,248
255,255,255,255
